"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@lzma_check_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_check_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_check_finish,0,0,0,0,0,0,0,0,0,0,0
function@lzma_crc64,4,2,0,4,0,25,0.54823,0.31746,0.942613,0,47.5824
function@lzma_crc32,2,0,0,2,0,51,0.623581,0,0.623581,0,48.9965
function@main,17,13,0,16,3,22,9.65178,10.0944,12.0877,0.874999,19.3579
function@init_encoder,0,0,0,0,0,1,0,0,0,0,1
function@uncompressStream,2,0,0,2,0,6,1.96743,0,2.0309,0,10.1228
function@compressStream,2,0,0,2,0,5,1.5122,0,1.56098,0,4.87805
function@tuklib_mbstr_fw,0,0,0,0,0,5,0,0,0,0,3.5625
function@tuklib_mbstr_width,0,0,0,0,0,0,0,0,0,0,0
function@tuklib_exit,0,0,0,0,0,0,0,0,0,0,0
